stockCode,date,open,high,low,close,volume
000100,2020-03-11,38984,39154,37644,38065,355711
000100,2020-03-12,37978,38398,35379,35884,505422
000100,2020-03-13,33115,36133,32863,34877,564509
000100,2020-03-16,35545,36215,34623,34877,265831
000100,2020-03-17,34372,35546,33786,35548,379155
000100,2020-03-18,35296,35798,34373,34794,366346
000100,2020-03-19,35043,35462,32612,32614,482050
000100,2020-03-20,33450,33703,32528,33537,417781
000100,2020-03-23,32191,32945,31437,32697,308418
000100,2020-03-24,33033,33788,32781,33621,294459
000100,2020-03-25,33955,34374,33451,33873,426822
000100,2020-03-26,33870,34875,33534,34039,386533
000100,2020-03-27,34961,42926,34542,37394,3031738
000100,2020-03-30,36973,38231,36051,37394,667528
000100,2020-03-31,38064,38482,37141,38400,794850
128940,2020-01-02,274684,276540,270507,272366,32022
128940,2020-01-03,277005,277470,272365,275151,32085
128940,2020-01-06,270046,275149,268652,269118,31267
128940,2020-01-07,271435,272827,268650,270973,22876
128940,2020-01-08,269117,269581,262157,265407,54251
128940,2020-01-09,269116,270045,265867,267262,29810
128940,2020-01-10,267261,273293,264941,271439,38200
128940,2020-01-13,271898,278394,271898,277005,42091
128940,2020-01-14,278395,280252,272828,274686,35911
128940,2020-01-15,275613,278862,273758,277935,23362
128940,2020-01-16,277931,277931,274682,276077,29118
128940,2020-01-17,275612,277468,272828,273294,26362
128940,2020-01-20,273757,276075,270045,273294,32424
128940,2020-01-21,271901,277469,271901,273759,31702
128940,2020-01-22,276541,281180,275150,277935,45753
128940,2020-01-23,277003,277003,271899,273294,47938
128940,2020-01-28,270972,274221,264477,266335,49061
128940,2020-01-29,267725,268188,262620,267262,45296
128940,2020-01-30,264476,272828,264012,267262,45310
128940,2020-01-31,267725,270045,260764,260766,43645
128940,2020-02-03,257980,262620,255197,260766,44922
128940,2020-02-04,260301,264477,260301,263550,33547
128940,2020-02-05,264012,266332,260300,261230,39370
128940,2020-02-06,264477,273293,262157,271439,42182
128940,2020-02-07,268653,276077,268653,275151,46425
128940,2020-02-10,275149,283965,271437,276542,74068
128940,2020-02-11,277468,281644,276540,278398,33243
128940,2020-02-12,278397,281181,277005,279327,23491
128940,2020-02-13,276540,279324,273756,274686,43224
128940,2020-02-14,272830,274685,270509,271439,37511
128940,2020-02-17,269580,273291,268188,268190,42804
128940,2020-02-18,267725,269116,264012,264942,46030
128940,2020-02-19,267726,269117,264477,265407,39440
128940,2020-02-20,265403,265403,260300,260766,43641
128940,2020-02-21,259835,260299,255658,256125,42844
128940,2020-02-24,246843,250092,242203,242206,67445
128940,2020-02-25,238492,247773,238028,246846,47391
128940,2020-02-26,246380,248699,242668,246382,37083
128940,2020-02-27,246381,257053,245453,250558,55612
128940,2020-02-28,246843,249164,239419,242206,72135
128940,2020-03-02,246379,248699,241275,247310,32401
128940,2020-03-03,249164,254268,247307,247310,52941
128940,2020-03-04,247307,252411,247307,251486,36095
128940,2020-03-05,255197,264013,252412,263550,71043
128940,2020-03-06,260764,265403,258908,260766,46204
128940,2020-03-09,258444,259372,251484,257054,36609
128940,2020-03-10,257052,259373,251019,258910,48615
128940,2020-03-11,258907,262618,249163,251021,46757
128940,2020-03-12,255658,255658,237562,240813,84533
128940,2020-03-13,214367,228750,207871,223183,101161
128940,2020-03-16,227357,233853,223181,223647,54662
128940,2020-03-17,212508,225500,212508,222254,56036
128940,2020-03-18,227357,230140,218542,218543,56718
128940,2020-03-19,222252,224108,198124,202302,85748
128940,2020-03-20,203692,211581,198589,210654,76805
128940,2020-03-23,200445,206476,198124,199982,53510
128940,2020-03-24,206943,212975,203230,212975,64970
128940,2020-03-25,223646,223646,218078,223647,67967
128940,2020-03-26,227820,231067,219931,225966,66712
128940,2020-03-27,232925,244062,222717,229679,85564
128940,2020-03-30,227820,231996,222716,230142,43428
128940,2020-03-31,234782,244063,231998,242671,78710
068270,2020-01-02,147352,148980,143281,146539,763806
068270,2020-01-03,147759,148573,144096,144503,611760
068270,2020-01-06,141654,142875,140432,140839,706402
068270,2020-01-07,142060,145723,141654,144910,561801
068270,2020-01-08,142468,143281,138805,140839,1094588
068270,2020-01-09,144910,146131,142468,144096,638189
068270,2020-01-10,145317,145317,142468,144503,529564
068270,2020-01-13,145723,147352,145317,146131,556593
068270,2020-01-14,146131,147759,144096,144910,621824
068270,2020-01-15,144910,145317,143281,143688,360569
068270,2020-01-16,143281,151830,141654,146946,1563332
068270,2020-01-17,146946,147352,141654,142468,1004873
068270,2020-01-20,141654,142468,140025,140432,698319
068270,2020-01-21,141654,142875,140432,140432,507325
068270,2020-01-22,140432,143688,140432,143688,467405
068270,2020-01-23,144503,144503,141654,142875,429037
068270,2020-01-28,138805,141247,138396,138805,832735
068270,2020-01-29,140432,140839,138396,139211,601997
068270,2020-01-30,140025,140839,134733,135955,776367
068270,2020-01-31,136769,139618,134326,134326,722199
068270,2020-02-03,131884,136362,130255,135547,838490
068270,2020-02-04,136362,137989,134326,136362,877248
068270,2020-02-05,137583,137989,133105,133919,804453
068270,2020-02-06,135141,141654,134733,140432,1021314
068270,2020-02-07,141247,141654,138396,139618,529079
068270,2020-02-10,139211,142875,137989,140839,609425
068270,2020-02-11,141654,143688,140432,141247,532362
068270,2020-02-12,141654,142468,140025,141654,400771
068270,2020-02-13,142875,147352,142875,145317,1492531
068270,2020-02-14,144910,148167,144503,147352,792940
068270,2020-02-17,148573,152644,148573,151422,980531
068270,2020-02-18,152237,152237,148573,150202,676075
068270,2020-02-19,151422,152237,146539,147759,907565
068270,2020-02-20,148167,148573,143688,145723,925194
068270,2020-02-21,143688,147352,143281,144096,551248
068270,2020-02-24,140432,142060,137583,137583,944180
068270,2020-02-25,137583,140839,137176,140432,698830
068270,2020-02-26,138396,144096,137583,140839,943278
068270,2020-02-27,141247,142468,137583,138805,809290
068270,2020-02-28,136769,139618,135955,138396,1006080
068270,2020-03-02,138805,142468,137176,142468,808415
068270,2020-03-03,145317,145723,140025,140432,805516
068270,2020-03-04,139618,142468,139211,142060,524530
068270,2020-03-05,144096,148167,142060,148167,1115923
068270,2020-03-06,147759,148980,144096,144503,868228
068270,2020-03-09,142468,146946,141247,141654,1218576
068270,2020-03-10,140025,147352,137583,147352,1478895
068270,2020-03-11,146539,148167,140839,142468,1003402
068270,2020-03-12,141247,144910,137176,140432,1486397
068270,2020-03-13,134326,141654,127406,138805,2737339
068270,2020-03-16,143281,144910,134733,134733,1295012
068270,2020-03-17,128627,139211,128627,136769,1719901
068270,2020-03-18,136769,139211,127813,127813,1492137
068270,2020-03-19,133105,133919,112753,113974,3550166
068270,2020-03-20,118451,124557,114788,124150,2480214
068270,2020-03-23,118451,150202,118045,142468,8212517
068270,2020-03-24,145317,155086,144096,149794,4795046
068270,2020-03-25,155493,155901,144503,148980,2867602
068270,2020-03-26,148167,155493,145317,147759,2998438
068270,2020-03-27,153458,154680,145317,149794,2367665
068270,2020-03-30,148167,151830,147759,150609,1151876
068270,2020-03-31,152644,189279,151015,186429,13673763
005930,2020-01-02,55500,56000,55000,55200,12993228
005930,2020-01-03,56000,56600,54900,55500,15422255
005930,2020-01-06,54900,55600,54600,55500,10278951
005930,2020-01-07,55700,56400,55600,55800,10009778
005930,2020-01-08,56200,57400,55900,56800,23501171
005930,2020-01-09,58400,58600,57400,58600,24102579
005930,2020-01-10,58800,59700,58300,59500,16000170
005930,2020-01-13,59600,60000,59100,60000,11359139
005930,2020-01-14,60400,61000,59900,60000,16906295
005930,2020-01-15,59500,59600,58900,59000,14300928
005930,2020-01-16,59100,60700,59000,60700,14381774
005930,2020-01-17,61900,62000,61000,61300,16025661
005930,2020-01-20,62000,62800,61700,62400,12528855
005930,2020-01-21,62000,62400,61200,61400,11142693
005930,2020-01-22,60500,62600,60400,62300,15339565
005930,2020-01-23,61800,61800,60700,60800,14916555
005930,2020-01-28,59400,59400,58300,58800,23664541
005930,2020-01-29,59100,59700,58800,59100,16446102
005930,2020-01-30,58800,58800,56800,57200,20821939
005930,2020-01-31,57800,58400,56400,56400,19749457
005930,2020-02-03,55500,57400,55200,57200,23995260
005930,2020-02-04,57100,59000,56800,58900,21800192
005930,2020-02-05,60000,60200,58900,59500,19278165
005930,2020-02-06,60100,61100,59700,61100,14727159
005930,2020-02-07,61100,61200,59700,60400,16402493
005930,2020-02-10,59200,59800,59100,59700,13107121
005930,2020-02-11,59800,60700,59700,59900,11071231
005930,2020-02-12,60300,60700,59700,60500,12904207
005930,2020-02-13,61200,61600,60500,60700,18449775
005930,2020-02-14,60900,61900,60200,61800,13276067
005930,2020-02-17,61600,62000,61200,61500,8740596
005930,2020-02-18,60800,60900,59700,59800,16674266
005930,2020-02-19,59800,60400,59400,60200,12951496
005930,2020-02-20,60700,61300,59600,60000,14591924
005930,2020-02-21,58800,59800,58500,59200,13777393
005930,2020-02-24,57400,58100,56800,56800,25627537
005930,2020-02-25,56200,58000,56200,57900,23885408
005930,2020-02-26,56000,57000,56000,56500,25483102
005930,2020-02-27,56300,56900,55500,55900,23209541
005930,2020-02-28,55000,55500,54200,54200,30054227
005930,2020-03-02,54300,55500,53600,55000,30403412
005930,2020-03-03,56700,56900,55100,55400,30330295
005930,2020-03-04,54800,57600,54600,57400,24765728
005930,2020-03-05,57600,58000,56700,57800,21698990
005930,2020-03-06,56500,57200,56200,56500,18716656
005930,2020-03-09,54700,55000,53600,54200,30261485
005930,2020-03-10,53800,54900,53700,54600,32106554
005930,2020-03-11,54300,54400,52000,52100,45707281
005930,2020-03-12,51000,51900,49300,50800,48149999
005930,2020-03-13,47450,51600,46850,49950,59462933
005930,2020-03-16,50100,50900,48800,48900,33339821
005930,2020-03-17,46900,49650,46700,47300,51218151
005930,2020-03-18,47750,48350,45600,45600,40152623
005930,2020-03-19,46400,46650,42300,42950,56925513
005930,2020-03-20,44150,45500,43550,45400,49730008
005930,2020-03-23,42600,43550,42400,42500,41701626
005930,2020-03-24,43850,46950,43050,46950,49801908
005930,2020-03-25,48950,49600,47150,48650,52735922
005930,2020-03-26,49000,49300,47700,47800,42185129
005930,2020-03-27,49600,49700,46850,48300,39896178
005930,2020-03-30,47050,48350,46550,47850,26797395
005930,2020-03-31,48000,48500,47150,47750,30654261
035420,2020-01-02,187500,188000,182000,182500,300640
